date,time,round,home_team,away_team,venue,result,home_goals,away_goals,home_poss,away_poss,home_xg,away_xg,home_sh,away_sh,home_shot_on_target,away_shot_on_target,home_form_last_5,home_avg_goals_last_5,home_avg_goals_conceded_last_5,home_avg_xg_last_5,home_avg_xg_conceded_last_5,home_avg_poss_last_5,home_avg_shots_last_5,home_avg_shots_on_target_last_5,away_form_last_5,away_avg_goals_last_5,away_avg_goals_conceded_last_5,away_avg_xg_last_5,away_avg_xg_conceded_last_5,away_avg_poss_last_5,away_avg_shots_last_5,away_avg_shots_on_target_last_5,home_Arsenal,home_Aston Villa,home_Brighton,home_Burnley,home_Chelsea,home_Crystal Palace,home_Everton,home_Fulham,home_Leeds United,home_Leicester City,home_Liverpool,home_Manchester City,home_Manchester Utd,home_Newcastle Utd,home_Sheffield Utd,home_Southampton,home_Tottenham,home_West Brom,home_West Ham,home_Wolves,away_Arsenal,away_Aston Villa,away_Brighton,away_Burnley,away_Chelsea,away_Crystal Palace,away_Everton,away_Fulham,away_Leeds United,away_Leicester City,away_Liverpool,away_Manchester City,away_Manchester Utd,away_Newcastle Utd,away_Sheffield Utd,away_Southampton,away_Tottenham,away_West Brom,away_West Ham,away_Wolves,form_difference,goals_difference,xg_difference,poss_difference,defensive_difference
2020-09-12,12:30,Matchweek 1,Fulham,Arsenal,Home,-1,0,3,46.0,54.0,0.1,1.9,5.0,13.0,2.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2020-09-12,15:00,Matchweek 1,Crystal Palace,Southampton,Home,1,1,0,31.0,69.0,1.1,0.9,5.0,9.0,3.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,
2020-09-12,17:30,Matchweek 1,Liverpool,Leeds United,Home,1,4,3,49.0,51.0,2.7,0.3,20.0,6.0,4.0,3.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
2020-09-12,20:00,Matchweek 1,West Ham,Newcastle Utd,Home,-1,0,2,58.0,42.0,1.0,1.6,15.0,15.0,3.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,
2020-09-13,14:00,Matchweek 1,West Brom,Leicester City,Home,-1,0,3,36.0,64.0,0.4,2.8,7.0,11.0,1.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
2020-09-13,16:30,Matchweek 1,Tottenham,Everton,Home,-1,0,1,52.0,48.0,1.1,1.2,9.0,15.0,5.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2020-09-14,18:00,Matchweek 1,Sheffield Utd,Wolves,Home,-1,0,2,55.0,45.0,1.0,1.4,9.0,11.0,1.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
2020-09-14,20:15,Matchweek 1,Brighton,Chelsea,Home,-1,1,3,52.0,48.0,1.1,1.2,13.0,9.0,3.0,4.0,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2020-09-19,12:30,Matchweek 2,Everton,West Brom,Home,1,5,2,71.0,29.0,3.9,0.3,17.0,6.0,7.0,4.0,1.0,1.0,0.0,1.2,1.1,48.0,15.0,4.0,-1.0,0.0,3.0,0.4,2.8,36.0,7.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,1.0,0.7999999999999999,12.0,3.0
2020-09-19,15:00,Matchweek 2,Leeds United,Fulham,Home,1,4,3,51.0,49.0,1.4,1.7,9.0,13.0,6.0,5.0,-1.0,3.0,4.0,0.3,2.7,51.0,6.0,3.0,-1.0,0.0,3.0,0.1,1.9,46.0,5.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.19999999999999998,5.0,-1.0
2020-09-19,17:30,Matchweek 2,Manchester Utd,Crystal Palace,Home,-1,1,3,75.0,25.0,1.2,1.6,17.0,13.0,4.0,4.0,,,,,,,,,1.0,1.0,0.0,1.1,0.9,31.0,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2020-09-19,20:00,Matchweek 2,Arsenal,West Ham,Home,1,2,1,62.0,38.0,1.1,2.0,7.0,14.0,3.0,2.0,1.0,3.0,0.0,1.9,0.1,54.0,13.0,5.0,-1.0,0.0,2.0,1.0,1.6,58.0,15.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,3.0,0.8999999999999999,-4.0,2.0
2020-09-20,12:00,Matchweek 2,Southampton,Tottenham,Home,-1,2,5,51.0,49.0,2.0,2.1,13.0,9.0,6.0,6.0,-1.0,0.0,1.0,0.9,1.1,69.0,9.0,5.0,-1.0,0.0,1.0,1.1,1.2,52.0,9.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,-0.20000000000000007,17.0,0.0
2020-09-20,14:00,Matchweek 2,Newcastle Utd,Brighton,Home,-1,0,3,47.0,53.0,0.5,1.8,6.0,12.0,0.0,5.0,1.0,2.0,0.0,1.6,1.0,42.0,15.0,2.0,-1.0,1.0,3.0,1.1,1.2,52.0,13.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0.5,-10.0,3.0
