date,time,round,home_team,away_team,venue,result,home_goals,away_goals,home_poss,away_poss,home_xg,away_xg,home_sh,away_sh,home_shot_on_target,away_shot_on_target,home_form_last_5,home_avg_goals_last_5,home_avg_goals_conceded_last_5,home_avg_xg_last_5,home_avg_xg_conceded_last_5,home_avg_poss_last_5,home_avg_shots_last_5,home_avg_shots_on_target_last_5,away_form_last_5,away_avg_goals_last_5,away_avg_goals_conceded_last_5,away_avg_xg_last_5,away_avg_xg_conceded_last_5,away_avg_poss_last_5,away_avg_shots_last_5,away_avg_shots_on_target_last_5,home_Arsenal,home_Aston Villa,home_Bournemouth,home_Brentford,home_Brighton,home_Burnley,home_Chelsea,home_Crystal Palace,home_Everton,home_Fulham,home_Liverpool,home_Luton Town,home_Manchester City,home_Manchester Utd,home_Newcastle Utd,home_Nott'ham Forest,home_Sheffield Utd,home_Tottenham,home_West Ham,home_Wolves,away_Arsenal,away_Aston Villa,away_Bournemouth,away_Brentford,away_Brighton,away_Burnley,away_Chelsea,away_Crystal Palace,away_Everton,away_Fulham,away_Liverpool,away_Luton Town,away_Manchester City,away_Manchester Utd,away_Newcastle Utd,away_Nott'ham Forest,away_Sheffield Utd,away_Tottenham,away_West Ham,away_Wolves,form_difference,goals_difference,xg_difference,poss_difference,defensive_difference
2023-08-11,20:00,Matchweek 1,Burnley,Manchester City,Home,-1,0,3,35.0,65.0,0.3,1.9,6.0,17.0,1.0,8.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
2023-08-12,12:30,Matchweek 1,Arsenal,Nott'ham Forest,Home,1,2,1,78.0,22.0,0.8,1.2,15.0,6.0,7.0,2.0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,
2023-08-12,15:00,Matchweek 1,Bournemouth,West Ham,Home,0,1,1,62.0,38.0,1.3,1.1,14.0,16.0,5.0,2.0,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
2023-08-12,15:00,Matchweek 1,Brighton,Luton Town,Home,1,4,1,70.0,30.0,4.0,1.5,26.0,8.0,11.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,
2023-08-12,15:00,Matchweek 1,Everton,Fulham,Home,-1,0,1,42.0,58.0,2.7,1.5,19.0,9.0,9.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
2023-08-12,15:00,Matchweek 1,Sheffield Utd,Crystal Palace,Home,-1,0,1,32.0,68.0,0.5,1.9,8.0,24.0,1.0,8.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-08-12,17:30,Matchweek 1,Newcastle Utd,Aston Villa,Home,1,5,1,52.0,48.0,3.3,1.8,17.0,16.0,12.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-08-13,14:00,Matchweek 1,Brentford,Tottenham,Home,0,2,2,31.0,69.0,2.2,1.3,10.0,18.0,5.0,6.0,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
2023-08-13,16:30,Matchweek 1,Chelsea,Liverpool,Home,0,1,1,65.0,35.0,1.4,1.3,10.0,13.0,4.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,
2023-08-14,20:00,Matchweek 1,Manchester Utd,Wolves,Home,1,1,0,51.0,49.0,2.2,2.2,15.0,23.0,2.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
2023-08-18,19:45,Matchweek 2,Nott'ham Forest,Sheffield Utd,Home,1,2,1,50.0,50.0,1.4,0.5,16.0,7.0,4.0,3.0,-1.0,1.0,2.0,1.2,0.8,22.0,6.0,2.0,-1.0,0.0,1.0,0.5,1.9,32.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.7,-10.0,-1.0
