date,time,round,home_team,away_team,venue,result,home_goals,away_goals,home_poss,away_poss,home_xg,away_xg,home_sh,away_sh,home_shot_on_target,away_shot_on_target,home_form_last_5,home_avg_goals_last_5,home_avg_goals_conceded_last_5,home_avg_xg_last_5,home_avg_xg_conceded_last_5,home_avg_poss_last_5,home_avg_shots_last_5,home_avg_shots_on_target_last_5,away_form_last_5,away_avg_goals_last_5,away_avg_goals_conceded_last_5,away_avg_xg_last_5,away_avg_xg_conceded_last_5,away_avg_poss_last_5,away_avg_shots_last_5,away_avg_shots_on_target_last_5,home_Arsenal,home_Aston Villa,home_Bournemouth,home_Brentford,home_Brighton,home_Chelsea,home_Crystal Palace,home_Everton,home_Fulham,home_Ipswich Town,home_Leicester City,home_Liverpool,home_Manchester City,home_Manchester Utd,home_Newcastle Utd,home_Nott'ham Forest,home_Southampton,home_Tottenham,home_West Ham,home_Wolves,away_Arsenal,away_Aston Villa,away_Bournemouth,away_Brentford,away_Brighton,away_Chelsea,away_Crystal Palace,away_Everton,away_Fulham,away_Ipswich Town,away_Leicester City,away_Liverpool,away_Manchester City,away_Manchester Utd,away_Newcastle Utd,away_Nott'ham Forest,away_Southampton,away_Tottenham,away_West Ham,away_Wolves,form_difference,goals_difference,xg_difference,poss_difference,defensive_difference
2024-08-16,20:00,Matchweek 1,Manchester Utd,Fulham,Home,1,1,0,55.0,45.0,2.4,0.4,14.0,10.0,5.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
2024-08-17,12:30,Matchweek 1,Ipswich Town,Liverpool,Home,-1,0,2,38.0,62.0,0.5,2.6,7.0,18.0,2.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,
2024-08-17,15:00,Matchweek 1,Arsenal,Wolves,Home,1,2,0,53.0,47.0,1.2,0.5,18.0,9.0,6.0,3.0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
2024-08-17,15:00,Matchweek 1,Everton,Brighton,Home,-1,0,3,40.0,60.0,0.5,1.4,9.0,10.0,1.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2024-08-17,15:00,Matchweek 1,Newcastle Utd,Southampton,Home,1,1,0,23.0,77.0,0.3,1.8,3.0,19.0,1.0,3.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
2024-08-17,15:00,Matchweek 1,Nott'ham Forest,Bournemouth,Home,0,1,1,53.0,47.0,1.3,1.2,14.0,13.0,8.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2024-08-17,17:30,Matchweek 1,West Ham,Aston Villa,Home,-1,1,2,52.0,48.0,2.3,2.0,13.0,15.0,2.0,3.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2024-08-18,14:00,Matchweek 1,Brentford,Crystal Palace,Home,1,2,1,46.0,54.0,1.6,1.2,9.0,14.0,5.0,6.0,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2024-08-18,16:30,Matchweek 1,Chelsea,Manchester City,Home,-1,0,2,48.0,52.0,1.0,0.8,10.0,11.0,3.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
2024-08-19,20:00,Matchweek 1,Leicester City,Tottenham,Home,0,1,1,30.0,70.0,1.0,1.2,7.0,15.0,3.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
